program_name,domain,program_id
4home,www.4home.hu,
Vision Express,www.visionexpress.hu,
REGIO Játék,www.regiojatek.hu,
Árukereső,www.arukereso.hu,
Decathlon,www.decathlon.hu,
Alinda,alinda.hu,
Maiakció,maiakcio.com,
Alza,www.alza.hu,
Glami,www.glami.hu,
Játék Sziget,www.jateksziget.hu,
Xupe,www.xupe.hu,
Hszien,www.hszien.hu,
Elektronik Star,www.electronic-star.hu,
Bestyle,bestyle.hu,
Zooplus,www.zooplus.hu,
Ebolt,www.ebolt.hu,
Szalay Könyvek,szalaykonyvek.hu,
Deco24,www.deco24.hu,
Klarstein,www.klarstein.hu,
Lampak.hu,www.lampak.hu,
Dodo.hu,dodo.hu,
Pepita.hu,pepita.hu,
Dyson,www.dyson.hu,
Onlinemarkaboltok.hu,www.onlinemarkaboltok.hu,
Nike,www.nike.com,
Gumik.hu,www.gumik.hu,
Merkury Market,www.merkurymarket.hu,
Aliexpress,www.aliexpress.com,
MannaVita,www.mannavita.hu,
MOBILFOX,hu.mobilfox.com,
Butopea,butopea.com,
Fény24,www.feny24.hu,
TopJiucers,www.topjuicers.hu,
Wolt,wolt.com,
SportPlaza,sportplaza.hu,
Tok Shop,tok-shop.hu,
GymBeam,gymbeam.hu,
Allegro,allegro.hu,
Ékszer-eshop,ekszer-eshop.hu,
Alensa,www.alensa.hu,
Eredeti Ajándékok,www.eredetiajandekok.hu,
Astoreo,www.astoreo.hu,
Mobilasz,www.mobilasz.hu,
Herbatica,www.herbatica.hu,
Bontis,www.bontis.hu,
Eyerim,eyerim.hu,
i-kertibutor,www.i-kertibutor.hu,
Cropp,www.cropp.com,
Parfume Shop,www.parfumeshop.hu,
Profiszakacs.hu,profiszakacs.hu,
Travelkingtravelking,travelking.hu,
Játékszállító.hu,jatekszallito.hu,
Konyhaluxnet,konyhaluxnet.hu,
Norafashion,norafashion.hu,
Speedshop,www.speedshop.hu,
TOMAN diet,tomandiet.com,
By TOMAN,bytoman.hu,
Milenial Café,www.milenialcafe.hu,
Bútor Market,butor-market.hu,
Cricksy Dog,cricksydog.hu,
Yves Rocher,www.yves-rocher.hu,
